id;Families;prod;ag;arq
4;696F2I335;6731.19;3.19;2.76
4;696F2I337;7134.64;2.11;2.67
4;696F2I340;6703.59;3.02;2.74
4;697F2I43;6904.46;2.18;2.74
4;697F2I44;6459.12;1.96;2.72
4;697F2I46;7270.04;2.43;2.71
4;697F2I48;6674.47;1.89;2.68
4;697F2I50;7523.49;1.98;2.67
4;697F2I51;6900.44;2.54;2.7
4;697F2I52;6663.36;2.51;2.75
4;697F2I56;7066.9;2.82;2.66
4;698F2I229;6091.98;2.12;2.74
4;698F2I230;6894.6;2.32;2.52
4;698F2I232;6768.46;2.48;2.68
4;699F2I134;6803.5;2.16;2.69
4;699F2I138;6114;2.51;2.53
4;699F2I143;6798.18;1.96;2.79
4;700F2I290;6933.93;2.36;2.53
4;700F2I292;7175.2;2.62;2.75
4;700F2I295;6739.43;1.84;2.59
4;700F2I296;6940.95;2.39;2.66
4;700F2I302;7197.36;2.2;2.76
4;700F2I304;6748.12;2.28;2.65
4;701F2I79;6453.15;2.43;2.46
4;701F2I83;6862.71;2.37;2.64
4;701F2I85;6603.82;2.11;2.71
4;701F2I86;6740.07;1.89;2.73
4;701F2I87;6496.18;2.18;2.47
4;701F2I95;6932.22;2.28;2.4
4;702F2I116;6769.74;1.9;2.87
4;702F2I119;6897.84;2.61;2.69
4;702F2I120;6724.18;2;2.82
4;702F2I121;6363.99;1.72;2.64
4;702F2I123;6668.3;1.85;2.58
4;702F2I124;6253.83;2.17;2.62
4;702F2I131;6440.27;1.78;2.49
4;702F2I132;6290.65;2.27;2.68
4;703F2I20;7165.46;2.4;2.59
4;703F2I22;7170.99;1.91;2.66
4;703F2I23;7044.62;2.43;2.75
4;703F2I26;6734.73;1.97;2.69
4;703F2I27;6387.1;2.39;2.78
4;703F2I28;7187.05;1.79;2.73
4;703F2I29;6204.2;2.33;2.31
4;703F2I30;6539.74;2.49;2.64
4;703F2I31;6374.88;1.98;2.61
4;703F2I32;7104.95;1.73;2.67
4;703F2I33;7035.76;1.9;2.64
4;703F2I34;6588.83;2.09;2.62
4;703F2I35;6775.09;1.76;2.64
4;703F2I36;6271.28;2.3;2.59
4;703F2I38;6857.1;1.91;2.52
4;704F2I271;6388.54;2;2.5
4;705F2I184;6558.53;2.32;2.69
4;706F2I249;6934.39;2.98;2.69
4;706F2I251;6937.3;2.83;2.54
4;706F2I252;6639.66;2.19;2.76
4;706F2I253;6971.59;2.11;2.7
4;706F2I256;6829.94;3.06;2.65
4;706F2I257;6955.45;2.6;2.74
4;706F2I258;6655.19;2.33;2.52
4;706F2I259;7266.93;2.96;2.65
4;706F2I261;6663.71;2.35;2.55
4;706F2I263;6874.88;2.94;2.6
4;706F2I264;7623.43;2.79;2.68
4;706F2I266;6553.57;2.11;2.55
4;707F2I1;6376.61;2.13;2.46
4;707F2I10;6269.62;2.45;2.68
4;707F2I14;6885.29;2.51;2.57
4;707F2I15;6900.75;2.16;2.59
4;707F2I16;6296.33;1.9;2.65
4;707F2I18;6516.21;2.33;2.63
4;707F2I19;6444.23;2.53;2.75
4;707F2I2;6303.94;2.13;2.66
4;707F2I3;6762.11;2.04;2.9
4;707F2I5;6387.96;2.29;2.45
4;707F2I7;5648.07;2.16;2.28
4;708F2I347;6828.3;2.37;2.43
4;708F2I349;6777.79;2.17;2.48
4;708F2I353;6714.35;2.27;2.71
4;708F2I355;6324.89;2.57;2.69
4;708F2I356;6457.07;2.38;2.49
4;708F2I359;6253.74;2.34;2.57
4;709F2I208;6735.31;2.38;2.62
4;710F2I305;6831.89;2.32;2.5
4;710F2I306;6863.23;2.06;2.6
4;710F2I316;6318.82;1.94;2.49
4;710F2I318;6786.99;1.76;2.73
4;710F2I321;6573.09;2.52;2.5
4;711F2I58;6382.78;2.6;2.54
4;712F2I100;7086.75;2.12;2.65
4;712F2I103;6634.56;1.98;2.23
4;712F2I105;6897.3;2.25;2.5
4;712F2I106;6631.18;2.27;2.53
4;712F2I109;6713.54;2.3;2.46
4;712F2I110;6910.67;2.33;2.66
4;712F2I113;6288.77;2.41;2.31
4;713F2I213;6110.92;2.47;2.64
4;713F2I222;6955.87;2.48;2.51
4;713F2I225;6984.56;1.89;2.39
4;714F2I378;7517.59;2.57;2.57
4;714F2I379;6838.91;2.57;2.78
4;715F2I153;6184.55;2.49;2.79
4;715F2I154;7376.07;2.09;2.69
4;715F2I155;6670.01;2.13;2.56
4;715F2I156;6752.53;2.01;2.88
4;715F2I158;6955.25;2.2;2.75
4;715F2I160;6861.32;2.14;2.67
4;715F2I167;6731.44;2.25;2.79
4;715F2I170;6786.95;2.28;2.53
4;Madrepérola_386;6661.23;2.35;2.77
4;Pérola_391;6039.14;2.51;2.78
4;Uai_400;6172.1;2.49;2.08
4;VC25_382;6895.19;2.26;2.52
